transformation,severity,direction,parameter_name,parameter_value,model,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,delta_accuracy_mean,delta_accuracy_std,delta_f1_mean,delta_f1_std,delta_roc_auc_mean,delta_roc_auc_std
brightness_bright,1,brighter,factor,1.2,efficientnet_b0,0.8333333333333334,0.07216878364870323,0.8134920634920634,0.08935182737458493,0.9490740740740741,0.028912027770362846,-0.041666666666666664,0.04166666666666665,-0.054645837254532904,0.05384876113261128,0.0,0.0069444444444444
brightness_bright,1,brighter,factor,1.2,resnet50,0.9444444444444445,0.024056261216234432,0.943030303030303,0.029392377340562683,0.9930555555555555,0.012028130608117273,0.0,0.0,0.0,0.0,0.0023148148148148333,0.004009376869372433
brightness_bright,1,brighter,factor,1.2,xception,0.9166666666666666,0.04166666666666673,0.9142512077294686,0.04352855384285052,0.9675925925925926,0.02891202777036297,-0.04166666666666664,5.658496737247252e-17,-0.04463768115942023,0.002134915922124123,-0.006944444444444434,0.006944444444444401
brightness_bright,2,brighter,factor,1.4,efficientnet_b0,0.7916666666666666,0.07216878364870323,0.7565217391304347,0.09789852390606699,0.9282407407407408,0.028065638085606765,-0.0833333333333333,0.0416666666666667,-0.1116161616161616,0.06149532104064843,-0.020833333333333266,0.012028130608117098
brightness_bright,2,brighter,factor,1.4,resnet50,0.875,0.04166666666666663,0.8620772946859904,0.05869267005008669,0.9837962962962964,0.010607814108693952,-0.0694444444444444,0.024056261216234342,-0.08095300834431264,0.03388868136677589,-0.0069444444444444,9.952952322426537e-17
brightness_bright,2,brighter,factor,1.4,xception,0.9166666666666666,0.04166666666666673,0.9101104209799861,0.05001278650908497,0.9791666666666666,0.013888888888888907,-0.04166666666666664,5.658496737247252e-17,-0.04877846790890263,0.009306020944177837,0.0046296296296296,0.010607814108694073
brightness_bright,3,brighter,factor,1.6,efficientnet_b0,0.75,0.0,0.6888888888888888,0.01924500897298748,0.9375,0.036746545987008175,-0.12499999999999996,0.04166666666666665,-0.17924901185770747,0.05333190285124578,-0.01157407407407407,0.014456013885181397
brightness_bright,3,brighter,factor,1.6,resnet50,0.763888888888889,0.06364688465216446,0.691027926322044,0.11689291771230689,0.9537037037037037,0.03131423439460337,-0.1805555555555555,0.04811252243246876,-0.252002376708259,0.09640947359750383,-0.037037037037036966,0.021215628217388063
brightness_bright,3,brighter,factor,1.6,xception,0.8055555555555557,0.0481125224324688,0.7616161616161617,0.08272967769472032,0.9745370370370371,0.022323265650446622,-0.15277777777777773,0.024056261216234373,-0.19727272727272718,0.054142450615738594,3.3248866622888805e-17,0.006944444444444449
brightness_dark,1,darker,factor,0.8,efficientnet_b0,0.888888888888889,0.06364688465216443,0.8876328502415459,0.06523757068376665,0.9513888888888888,0.01837327299350414,0.0138888888888889,0.024056261216234425,0.019494949494949468,0.02199075967005773,0.0023148148148147665,0.010607814108694049
brightness_dark,1,darker,factor,0.8,resnet50,0.9027777777777778,0.048112522432468864,0.8955693581780538,0.05614320495595601,0.976851851851852,0.010607814108694073,-0.04166666666666664,0.04166666666666665,-0.047460944852249165,0.04538406189332782,-0.0138888888888888,9.996884940843768e-17
brightness_dark,1,darker,factor,0.8,xception,0.9444444444444445,0.024056261216234456,0.9455555555555555,0.025018511664883825,0.9583333333333334,0.030270131552365794,-0.013888888888888867,0.02405626121623437,-0.013333333333333334,0.023094010767585032,-0.016203703703703668,0.010607814108694017
brightness_dark,2,darker,factor,0.6,efficientnet_b0,0.8888888888888888,0.024056261216234345,0.8973219373219373,0.022742967151394223,0.9421296296296297,0.008018753738744782,0.013888888888888867,0.04811252243246874,0.029184036575340935,0.04950490488057292,-0.0069444444444444675,0.01837327299350404
brightness_dark,2,darker,factor,0.6,resnet50,0.8333333333333334,0.0,0.8214452214452215,0.023249338256021757,0.9398148148148149,0.010607814108694075,-0.11111111111111106,0.02405626121623448,-0.12158508158508151,0.017682953569824817,-0.05092592592592584,0.01060781410869416
brightness_dark,2,darker,factor,0.6,xception,0.9305555555555555,0.024056261216234456,0.9353846153846156,0.02131754840084759,0.9467592592592592,0.016037507477489596,-0.027777777777777766,0.0481125224324688,-0.023504273504273466,0.046372936782501435,-0.027777777777777703,0.006944444444444502
brightness_dark,3,darker,factor,0.4,efficientnet_b0,0.75,0.04166666666666663,0.775647890340544,0.014827519846333395,0.8611111111111112,0.041666666666666796,-0.12499999999999996,0.07216878364870316,-0.09249001040605233,0.05029639790017226,-0.08796296296296295,0.05906180936191247
brightness_dark,3,darker,factor,0.4,resnet50,0.7222222222222222,0.06364688465216443,0.6487979207277452,0.158112180711618,0.8958333333333334,0.0416666666666667,-0.22222222222222224,0.04811252243246878,-0.2942323823025577,0.13523389612704687,-0.09490740740740729,0.046238389711662504
