model,seed,condition_id,transformation,severity,direction,parameter_name,parameter_value,accuracy,precision,recall,f1,roc_auc,delta_accuracy,delta_f1,delta_roc_auc
xception,42,clean,clean,0,none,none,,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9652777777777778,0.0,0.0,0.0
xception,42,jpeg_sev1_q80,jpeg,1,none,quality,80.0,0.75,0.875,0.5833333333333334,0.7,0.9305555555555556,-0.16666666666666663,-0.21666666666666667,-0.03472222222222221
xception,42,jpeg_sev2_q50,jpeg,2,none,quality,50.0,0.5833333333333334,0.75,0.25,0.375,0.8680555555555556,-0.33333333333333326,-0.5416666666666666,-0.09722222222222221
xception,42,jpeg_sev3_q20,jpeg,3,none,quality,20.0,0.5,0.0,0.0,0.0,0.673611111111111,-0.41666666666666663,-0.9166666666666666,-0.29166666666666674
xception,42,resize_sev1_s75,resize,1,none,scale,0.75,0.8333333333333334,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.9583333333333334,-0.08333333333333326,-0.07051282051282048,-0.00694444444444442
xception,42,resize_sev2_s50,resize,2,none,scale,0.5,0.8333333333333334,0.75,1.0,0.8571428571428571,0.951388888888889,-0.08333333333333326,-0.059523809523809534,-0.01388888888888884
xception,42,resize_sev3_s25,resize,3,none,scale,0.25,0.7916666666666666,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.8888888888888888,-0.125,-0.10185185185185186,-0.07638888888888895
xception,42,brightness_dark_sev1_f80,brightness_dark,1,darker,factor,0.8,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9375,0.0,0.0,-0.02777777777777779
xception,42,brightness_dark_sev2_f60,brightness_dark,2,darker,factor,0.6,0.9166666666666666,0.8571428571428571,1.0,0.9230769230769231,0.9375,0.0,0.0064102564102564985,-0.02777777777777779
xception,42,brightness_dark_sev3_f40,brightness_dark,3,darker,factor,0.4,0.625,0.5714285714285714,1.0,0.7272727272727273,0.920138888888889,-0.29166666666666663,-0.18939393939393934,-0.04513888888888884
xception,42,brightness_bright_sev1_f120,brightness_bright,1,brighter,factor,1.2,0.875,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9583333333333333,-0.04166666666666663,-0.047101449275362306,-0.006944444444444531
xception,42,brightness_bright_sev2_f140,brightness_bright,2,brighter,factor,1.4,0.875,1.0,0.75,0.8571428571428571,0.9791666666666666,-0.04166666666666663,-0.059523809523809534,0.01388888888888884
xception,42,brightness_bright_sev3_f160,brightness_bright,3,brighter,factor,1.6,0.75,1.0,0.5,0.6666666666666666,0.9583333333333334,-0.16666666666666663,-0.25,-0.00694444444444442
