model,seed,condition_id,transformation,severity,direction,parameter_name,parameter_value,accuracy,precision,recall,f1,roc_auc,delta_accuracy,delta_f1,delta_roc_auc
efficientnet_b0,42,clean,clean,0,none,none,,0.875,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9722222222222222,0.0,0.0,0.0
efficientnet_b0,42,jpeg_sev1_q80,jpeg,1,none,quality,80.0,0.7916666666666666,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.8958333333333333,-0.08333333333333337,-0.10766045548654246,-0.07638888888888895
efficientnet_b0,42,jpeg_sev2_q50,jpeg,2,none,quality,50.0,0.6666666666666666,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.7777777777777778,-0.20833333333333337,-0.31400966183574874,-0.19444444444444442
efficientnet_b0,42,jpeg_sev3_q20,jpeg,3,none,quality,20.0,0.625,1.0,0.25,0.4,0.6875,-0.25,-0.4695652173913043,-0.2847222222222222
efficientnet_b0,42,resize_sev1_s75,resize,1,none,scale,0.75,0.875,0.8461538461538461,0.9166666666666666,0.88,0.9652777777777778,0.0,0.01043478260869568,-0.00694444444444442
efficientnet_b0,42,resize_sev2_s50,resize,2,none,scale,0.5,0.875,0.8461538461538461,0.9166666666666666,0.88,0.9444444444444445,0.0,0.01043478260869568,-0.02777777777777768
efficientnet_b0,42,resize_sev3_s25,resize,3,none,scale,0.25,0.7916666666666666,0.7692307692307693,0.8333333333333334,0.8,0.8958333333333334,-0.08333333333333337,-0.06956521739130428,-0.07638888888888884
efficientnet_b0,42,brightness_dark_sev1_f80,brightness_dark,1,darker,factor,0.8,0.875,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9722222222222222,0.0,0.0,0.0
efficientnet_b0,42,brightness_dark_sev2_f60,brightness_dark,2,darker,factor,0.6,0.9166666666666666,0.8571428571428571,1.0,0.9230769230769231,0.9513888888888888,0.04166666666666663,0.053511705685618804,-0.02083333333333337
efficientnet_b0,42,brightness_dark_sev3_f40,brightness_dark,3,darker,factor,0.4,0.7083333333333334,0.6470588235294118,0.9166666666666666,0.7586206896551724,0.861111111111111,-0.16666666666666663,-0.11094452773613195,-0.11111111111111116
efficientnet_b0,42,brightness_bright_sev1_f120,brightness_bright,1,brighter,factor,1.2,0.7916666666666666,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.9722222222222222,-0.08333333333333337,-0.10766045548654246,0.0
efficientnet_b0,42,brightness_bright_sev2_f140,brightness_bright,2,brighter,factor,1.4,0.75,0.875,0.5833333333333334,0.7,0.9444444444444445,-0.125,-0.16956521739130437,-0.02777777777777768
efficientnet_b0,42,brightness_bright_sev3_f160,brightness_bright,3,brighter,factor,1.6,0.75,1.0,0.5,0.6666666666666666,0.9652777777777778,-0.125,-0.2028985507246377,-0.00694444444444442
