n_total,n_valid,n_nonzero,mean_clean,mean_transformed,mean_diff,median_diff,w_stat,raw_p,r_rb,ci_lower,ci_upper,test_status,model,seed,transformation,metric,test_family,inference_unit,rho,adjusted_p
12.0,12,12.0,0.29532735009313205,0.28485823246207725,0.010469117631054804,0.0052872382570942345,11.0,0.02685546875,0.717948717948718,0.002939525893889742,0.018585631234719967,tested,xception,2024,brightening_sev1,SO,family_1_localization,source_video,,0.0537109375
12.0,12,12.0,0.19240914682730878,0.1833733055471255,0.009035841280183247,0.005496889356436246,10.0,0.02099609375,0.7435897435897436,0.002848700375246899,0.01565270016903373,tested,xception,2024,brightening_sev1,IoU,family_1_localization,source_video,,0.043817934782608696
12.0,12,12.0,0.29213546540959834,0.2825278031055805,0.009607662304017817,0.0027021701603142656,16.0,0.0771484375,0.5897435897435898,0.0023619812021421225,0.018078663605746777,tested,xception,2024,brightening_sev1,saliency_mass,family_1_localization,source_video,,0.11221590909090909
12.0,12,11.0,0.31874686855812956,0.30934862690534765,0.009398241652781879,0.0021275859683110576,25.0,0.51953125,0.24242424242424243,-0.004220346903268352,0.026761085291190794,tested,xception,2024,brightening_sev1,hit_rate,family_1_localization,source_video,,0.5667613636363636
12.0,12,12.0,0.0027429592226754424,-0.013420800063704505,0.01616375928637995,0.00296297970387777,22.0,0.20361328125,0.4358974358974359,-0.007736511552242152,0.053231325753052595,tested,xception,2024,brightening_sev1,faithfulness_blur,family_2_faithfulness,source_video,,0.4072265625
12.0,12,12.0,0.6477313709589902,0.6477106994491427,2.0671509847377163e-05,-0.03315523863700609,19.0,0.12939453125,-0.5128205128205128,-0.05160441967945701,0.08300031918384478,tested,xception,2024,brightening_sev1,faithfulness_zero,family_2_faithfulness,source_video,,0.310546875
12.0,12,12.0,0.4391810292880423,0.39736236754484056,0.041818661743201646,0.0033912680863435723,31.0,0.5693359375,0.20512820512820512,-0.013137926242304233,0.12023383877876852,tested,xception,2024,brightening_sev1,faithfulness_mean,family_2_faithfulness,source_video,,0.683203125
12.0,0,0.0,,,,,,,,,,not_tested_small_n,xception,2024,brightening_sev1,ES_cos,family_3_stability,source_video,,
12.0,0,0.0,,,,,,,,,,not_tested_small_n,xception,2024,brightening_sev1,explanation_IoU,family_3_stability,source_video,,
,12,,,,,,,0.8290236405313092,,,,tested,xception,2024,brightening_sev1,SO_vs_blur,family_4a_loc_faith,source_video,-0.06993006993006995,0.896985870819554
,12,,,,,,,0.8290236405313092,,,,tested,xception,2024,brightening_sev1,SO_vs_zero,family_4a_loc_faith,source_video,0.06993006993006995,0.896985870819554
,12,,,,,,,0.08486877113393476,,,,tested,xception,2024,brightening_sev1,SO_vs_mean,family_4a_loc_faith,source_video,-0.5174825174825175,0.3819094701027064
,12,,,,,,,0.712884219214772,,,,tested,xception,2024,brightening_sev1,IoU_vs_blur,family_4a_loc_faith,source_video,-0.1188811188811189,0.896985870819554
,12,,,,,,,0.8969858708195542,,,,tested,xception,2024,brightening_sev1,IoU_vs_zero,family_4a_loc_faith,source_video,0.04195804195804196,0.896985870819554
,12,,,,,,,0.06661188226688902,,,,tested,xception,2024,brightening_sev1,IoU_vs_mean,family_4a_loc_faith,source_video,-0.5454545454545455,0.3819094701027064
,12,,,,,,,0.8969858708195542,,,,tested,xception,2024,brightening_sev1,SM_vs_blur,family_4a_loc_faith,source_video,-0.04195804195804196,0.896985870819554
,12,,,,,,,0.512840943181826,,,,tested,xception,2024,brightening_sev1,SM_vs_zero,family_4a_loc_faith,source_video,0.20979020979020982,0.896985870819554
,12,,,,,,,0.24526500073077723,,,,tested,xception,2024,brightening_sev1,SM_vs_mean,family_4a_loc_faith,source_video,-0.3636363636363637,0.7357950021923316
,12,,,,,,,0.0006428259886278203,,,,tested,xception,2024,brightening_sev1,Dprob_vs_DSO,family_4b_det_exp_deg,source_video,0.8391608391608393,0.001714202636340854
,12,,,,,,,0.0006428259886278203,,,,tested,xception,2024,brightening_sev1,Dprob_vs_DIoU,family_4b_det_exp_deg,source_video,0.8391608391608393,0.001714202636340854
,0,,,,,,,,,,,not_tested_small_n,xception,2024,brightening_sev1,Dprob_vs_Dstability,family_4b_det_exp_deg,source_video,,
12.0,12,12.0,0.29532735009313205,0.26187682865909967,0.033450521434032425,0.02048044926036445,9.0,0.01611328125,0.7692307692307693,0.012357144482331685,0.057599922371355056,tested,xception,2024,brightening_sev2,SO,family_1_localization,source_video,,0.036830357142857144
12.0,12,12.0,0.19240914682730878,0.1651784972972737,0.027230649530035064,0.019303677146015788,6.0,0.0068359375,0.8461538461538461,0.010718826135515037,0.04461485883066633,tested,xception,2024,brightening_sev2,IoU,family_1_localization,source_video,,0.018229166666666668
12.0,12,12.0,0.29213546540959834,0.2618082844724796,0.030327180937118756,0.016758236173887414,9.0,0.01611328125,0.7692307692307693,0.010308183832802015,0.05224963285340013,tested,xception,2024,brightening_sev2,saliency_mass,family_1_localization,source_video,,0.036830357142857144
12.0,12,11.0,0.31874686855812956,0.2871459490227153,0.03160091953541435,0.006542935340403691,14.0,0.1015625,0.5757575757575758,0.006871440619382635,0.05754953842721276,tested,xception,2024,brightening_sev2,hit_rate,family_1_localization,source_video,,0.1392857142857143
12.0,12,12.0,0.0027429592226754424,-0.026449665962801544,0.029192625185476995,0.0010295100475132548,23.0,0.2333984375,0.41025641025641024,-0.011353605756414153,0.08612829785820252,tested,xception,2024,brightening_sev2,faithfulness_blur,family_2_faithfulness,source_video,,0.4201171875
12.0,12,12.0,0.6477313709589902,0.628429048397746,0.019302322561244173,-0.020365050823039077,35.0,0.791015625,-0.10256410256410256,-0.06867912704109602,0.14034668440156253,tested,xception,2024,brightening_sev2,faithfulness_zero,family_2_faithfulness,source_video,,0.8136160714285714
12.0,12,12.0,0.4391810292880423,0.34049436874942435,0.09868666053861785,0.05968571610719259,13.0,0.04248046875,0.6666666666666666,0.028000831970644215,0.19705906205378845,tested,xception,2024,brightening_sev2,faithfulness_mean,family_2_faithfulness,source_video,,0.12744140625
12.0,0,0.0,,,,,,,,,,not_tested_small_n,xception,2024,brightening_sev2,ES_cos,family_3_stability,source_video,,
12.0,0,0.0,,,,,,,,,,not_tested_small_n,xception,2024,brightening_sev2,explanation_IoU,family_3_stability,source_video,,
,12,,,,,,,0.8290236405313092,,,,tested,xception,2024,brightening_sev2,SO_vs_blur,family_4a_loc_faith,source_video,-0.06993006993006995,0.896985870819554
,12,,,,,,,0.8290236405313092,,,,tested,xception,2024,brightening_sev2,SO_vs_zero,family_4a_loc_faith,source_video,0.06993006993006995,0.896985870819554
,12,,,,,,,0.08486877113393476,,,,tested,xception,2024,brightening_sev2,SO_vs_mean,family_4a_loc_faith,source_video,-0.5174825174825175,0.3819094701027064
,12,,,,,,,0.712884219214772,,,,tested,xception,2024,brightening_sev2,IoU_vs_blur,family_4a_loc_faith,source_video,-0.1188811188811189,0.896985870819554
,12,,,,,,,0.8969858708195542,,,,tested,xception,2024,brightening_sev2,IoU_vs_zero,family_4a_loc_faith,source_video,0.04195804195804196,0.896985870819554
,12,,,,,,,0.06661188226688902,,,,tested,xception,2024,brightening_sev2,IoU_vs_mean,family_4a_loc_faith,source_video,-0.5454545454545455,0.3819094701027064
,12,,,,,,,0.8969858708195542,,,,tested,xception,2024,brightening_sev2,SM_vs_blur,family_4a_loc_faith,source_video,-0.04195804195804196,0.896985870819554
