"holdout","model","seed","baseline_file","lomo_run_folder","baseline_accuracy","lomo_accuracy","delta_accuracy","baseline_precision","lomo_precision","delta_precision","baseline_recall","lomo_recall","delta_recall","baseline_f1","lomo_f1","delta_f1","baseline_roc_auc","lomo_roc_auc","delta_roc_auc"
"Face2Face","resnet50","2024","Face2Face\resnet50_seed2024\test_results.json","holdout_Face2Face_resnet50_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_17-25-03_seed2024","0.875","0.75","-0.125","0.8","0.75","-0.050000000000000044","1","0.75","-0.25","0.8888888888888888","0.75","-0.13888888888888884","1","0.8333333333333334","-0.16666666666666663"
"Face2Face","xception","42","Face2Face\xception_seed42\test_results.json","holdout_Face2Face_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-26_01-18-45_seed42","1","0.7916666666666666","-0.20833333333333337","1","0.8888888888888888","-0.11111111111111116","1","0.6666666666666666","-0.33333333333333337","1","0.7619047619047619","-0.23809523809523814","1","0.8611111111111112","-0.13888888888888884"
"Face2Face","xception","123","Face2Face\xception_seed123\test_results.json","holdout_Face2Face_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-26_02-17-27_seed123","1","0.8333333333333334","-0.16666666666666663","1","1","0","1","0.6666666666666666","-0.33333333333333337","1","0.8","-0.19999999999999996","1","0.875","-0.125"
"Face2Face","xception","2024","Face2Face\xception_seed2024\test_results.json","holdout_Face2Face_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-26_03-06-45_seed2024","0.875","0.7916666666666666","-0.08333333333333337","0.8","0.8181818181818182","0.018181818181818188","1","0.75","-0.25","0.8888888888888888","0.782608695652174","-0.10628019323671489","0.9861111111111112","0.888888888888889","-0.09722222222222221"
"FaceSwap","efficientnet_b0","42","FaceSwap\efficientnet_b0_seed42\test_results.json","holdout_FaceSwap_efficientnet_b0_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_17-44-56_seed42","0.75","0.4583333333333333","-0.2916666666666667","0.6875","0.4","-0.2875","0.9166666666666666","0.16666666666666666","-0.75","0.7857142857142857","0.23529411764705882","-0.5504201680672269","0.923611111111111","0.4930555555555556","-0.43055555555555547"
"FaceSwap","efficientnet_b0","123","FaceSwap\efficientnet_b0_seed123\test_results.json","holdout_FaceSwap_efficientnet_b0_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_18-05-32_seed123","0.9583333333333334","0.5","-0.45833333333333337","0.9230769230769231","0.5","-0.42307692307692313","1","0.25","-0.75","0.96","0.3333333333333333","-0.6266666666666667","1","0.5277777777777778","-0.4722222222222222"
"FaceSwap","efficientnet_b0","2024","FaceSwap\efficientnet_b0_seed2024\test_results.json","holdout_FaceSwap_efficientnet_b0_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_18-19-27_seed2024","0.875","0.4583333333333333","-0.4166666666666667","0.8","0.4","-0.4","1","0.16666666666666666","-0.8333333333333334","0.8888888888888888","0.23529411764705882","-0.65359477124183","0.9236111111111112","0.5416666666666666","-0.38194444444444453"
"FaceSwap","resnet50","42","FaceSwap\resnet50_seed42\test_results.json","holdout_FaceSwap_resnet50_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_18-37-41_seed42","0.9583333333333334","0.5","-0.45833333333333337","1","0.5","-0.5","0.9166666666666666","0.08333333333333333","-0.8333333333333333","0.9565217391304348","0.14285714285714285","-0.813664596273292","0.9791666666666666","0.4722222222222222","-0.5069444444444444"
"FaceSwap","resnet50","123","FaceSwap\resnet50_seed123\test_results.json","holdout_FaceSwap_resnet50_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_18-58-41_seed123","0.9166666666666666","0.5","-0.41666666666666663","0.9166666666666666","0.5","-0.41666666666666663","0.9166666666666666","0.08333333333333333","-0.8333333333333333","0.9166666666666666","0.14285714285714285","-0.7738095238095237","0.9722222222222223","0.49305555555555547","-0.47916666666666685"
"FaceSwap","resnet50","2024","FaceSwap\resnet50_seed2024\test_results.json","holdout_FaceSwap_resnet50_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_19-25-14_seed2024","0.875","0.5416666666666666","-0.33333333333333337","0.8","1","0.19999999999999996","1","0.08333333333333333","-0.9166666666666666","0.8888888888888888","0.15384615384615385","-0.735042735042735","0.9861111111111112","0.4861111111111111","-0.5"
"FaceSwap","xception","42","FaceSwap\xception_seed42\test_results.json","holdout_FaceSwap_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-26_03-54-10_seed42","1","0.5416666666666666","-0.45833333333333337","1","0.6666666666666666","-0.33333333333333337","1","0.16666666666666666","-0.8333333333333334","1","0.26666666666666666","-0.7333333333333334","1","0.39583333333333337","-0.6041666666666666"
"FaceSwap","xception","123","FaceSwap\xception_seed123\test_results.json","holdout_FaceSwap_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-26_04-51-31_seed123","1","0.5416666666666666","-0.45833333333333337","1","1","0","1","0.08333333333333333","-0.9166666666666666","1","0.15384615384615385","-0.8461538461538461","1","0.4930555555555556","-0.5069444444444444"
"FaceSwap","xception","2024","FaceSwap\xception_seed2024\test_results.json","holdout_FaceSwap_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-26_06-12-02_seed2024","0.875","0.5","-0.375","0.8","0","-0.8","1","0","-1","0.8888888888888888","0","-0.8888888888888888","0.9930555555555555","0.39583333333333337","-0.5972222222222221"
"NeuralTextures","efficientnet_b0","42","NeuralTextures\efficientnet_b0_seed42\test_results.json","holdout_NeuralTextures_efficientnet_b0_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_19-46-03_seed42","0.7083333333333334","0.625","-0.08333333333333337","0.6666666666666666","0.7142857142857143","0.04761904761904767","0.8333333333333334","0.4166666666666667","-0.4166666666666667","0.7407407407407407","0.5263157894736842","-0.21442495126705652","0.888888888888889","0.6875","-0.20138888888888895"
"NeuralTextures","efficientnet_b0","123","NeuralTextures\efficientnet_b0_seed123\test_results.json","holdout_NeuralTextures_efficientnet_b0_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_20-04-25_seed123","0.9166666666666666","0.5833333333333334","-0.33333333333333326","0.9166666666666666","0.75","-0.16666666666666663","0.9166666666666666","0.25","-0.6666666666666666","0.9166666666666666","0.375","-0.5416666666666666","0.9791666666666666","0.6319444444444445","-0.3472222222222221"
"NeuralTextures","efficientnet_b0","2024","NeuralTextures\efficientnet_b0_seed2024\test_results.json","holdout_NeuralTextures_efficientnet_b0_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_20-26-59_seed2024","0.7916666666666666","0.5833333333333334","-0.20833333333333326","0.7692307692307693","1","0.23076923076923073","0.8333333333333334","0.16666666666666666","-0.6666666666666667","0.8","0.2857142857142857","-0.5142857142857143","0.9236111111111112","0.6111111111111112","-0.3125"
"NeuralTextures","resnet50","42","NeuralTextures\resnet50_seed42\test_results.json","holdout_NeuralTextures_resnet50_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_20-58-14_seed42","0.875","0.5833333333333334","-0.29166666666666663","1","1","0","0.75","0.16666666666666666","-0.5833333333333334","0.8571428571428571","0.2857142857142857","-0.5714285714285714","0.9097222222222222","0.576388888888889","-0.33333333333333326"
"NeuralTextures","resnet50","123","NeuralTextures\resnet50_seed123\test_results.json","holdout_NeuralTextures_resnet50_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_21-22-23_seed123","0.875","0.5416666666666666","-0.33333333333333337","0.9090909090909091","0.6666666666666666","-0.24242424242424243","0.8333333333333334","0.16666666666666666","-0.6666666666666667","0.8695652173913043","0.26666666666666666","-0.6028985507246376","0.9791666666666667","0.6319444444444444","-0.3472222222222223"
"NeuralTextures","resnet50","2024","NeuralTextures\resnet50_seed2024\test_results.json","holdout_NeuralTextures_resnet50_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-25_21-53-29_seed2024","0.875","0.5","-0.375","0.8","0.5","-0.30000000000000004","1","0.08333333333333333","-0.9166666666666666","0.8888888888888888","0.14285714285714285","-0.746031746031746","0.9861111111111112","0.5555555555555556","-0.4305555555555556"
"NeuralTextures","xception","42","NeuralTextures\xception_seed42\test_results.json","holdout_NeuralTextures_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-26_07-10-08_seed42","0.9166666666666666","0.5","-0.41666666666666663","1","0.5","-0.5","0.8333333333333334","0.16666666666666666","-0.6666666666666667","0.9090909090909091","0.25","-0.6590909090909091","0.9652777777777777","0.5347222222222222","-0.43055555555555547"
"NeuralTextures","xception","123","NeuralTextures\xception_seed123\test_results.json","holdout_NeuralTextures_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-26_08-22-46_seed123","0.9583333333333334","0.5","-0.45833333333333337","1","0.5","-0.5","0.9166666666666666","0.08333333333333333","-0.8333333333333333","0.9565217391304348","0.14285714285714285","-0.813664596273292","0.9861111111111112","0.5416666666666667","-0.4444444444444444"
"NeuralTextures","xception","2024","NeuralTextures\xception_seed2024\test_results.json","holdout_NeuralTextures_xception_NVIDIA GeForce RTX 5050 Laptop GPU_2026-09-26_09-51-24_seed2024","0.8333333333333334","0.5833333333333334","-0.25","0.7857142857142857","1","0.2142857142857143","0.9166666666666666","0.16666666666666666","-0.75","0.8461538461538461","0.2857142857142857","-0.5604395604395604","0.9652777777777777","0.6458333333333333","-0.3194444444444444"
