model,seed,condition_id,transformation,severity,direction,parameter_name,parameter_value,accuracy,precision,recall,f1,roc_auc,delta_accuracy,delta_f1,delta_roc_auc
resnet50,42,clean,clean,0,none,none,,0.9583333333333334,0.9230769230769231,1.0,0.96,0.9791666666666666,0.0,0.0,0.0
resnet50,42,jpeg_sev1_q80,jpeg,1,none,quality,80.0,0.8333333333333334,0.9,0.75,0.8181818181818182,0.9652777777777778,-0.125,-0.14181818181818173,-0.01388888888888884
resnet50,42,jpeg_sev2_q50,jpeg,2,none,quality,50.0,0.6666666666666666,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.8402777777777778,-0.29166666666666674,-0.4044444444444444,-0.13888888888888884
resnet50,42,jpeg_sev3_q20,jpeg,3,none,quality,20.0,0.5,0.0,0.0,0.0,0.701388888888889,-0.45833333333333337,-0.96,-0.2777777777777777
resnet50,42,resize_sev1_s75,resize,1,none,scale,0.75,0.875,0.8,1.0,0.8888888888888888,0.9444444444444444,-0.08333333333333337,-0.07111111111111112,-0.03472222222222221
resnet50,42,resize_sev2_s50,resize,2,none,scale,0.5,0.875,0.8,1.0,0.8888888888888888,0.9444444444444444,-0.08333333333333337,-0.07111111111111112,-0.03472222222222221
resnet50,42,resize_sev3_s25,resize,3,none,scale,0.25,0.875,0.8,1.0,0.8888888888888888,0.9375,-0.08333333333333337,-0.07111111111111112,-0.04166666666666663
resnet50,42,brightness_dark_sev1_f80,brightness_dark,1,darker,factor,0.8,0.9583333333333334,0.9230769230769231,1.0,0.96,0.9652777777777778,0.0,0.0,-0.01388888888888884
resnet50,42,brightness_dark_sev2_f60,brightness_dark,2,darker,factor,0.6,0.8333333333333334,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.9305555555555556,-0.125,-0.11384615384615382,-0.04861111111111105
resnet50,42,brightness_dark_sev3_f40,brightness_dark,3,darker,factor,0.4,0.7916666666666666,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.8958333333333334,-0.16666666666666674,-0.1451851851851852,-0.08333333333333326
resnet50,42,brightness_bright_sev1_f120,brightness_bright,1,brighter,factor,1.2,0.9583333333333334,0.9230769230769231,1.0,0.96,0.9791666666666666,0.0,0.0,0.0
resnet50,42,brightness_bright_sev2_f140,brightness_bright,2,brighter,factor,1.4,0.875,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9722222222222223,-0.08333333333333337,-0.09043478260869564,-0.006944444444444309
resnet50,42,brightness_bright_sev3_f160,brightness_bright,3,brighter,factor,1.6,0.75,1.0,0.5,0.6666666666666666,0.9236111111111112,-0.20833333333333337,-0.29333333333333333,-0.05555555555555547
