model,seed,condition_id,transformation,severity,direction,parameter_name,parameter_value,accuracy,precision,recall,f1,roc_auc,delta_accuracy,delta_f1,delta_roc_auc
resnet50,2024,clean,clean,0,none,none,,0.9166666666666666,1.0,0.8333333333333334,0.9090909090909091,1.0,0.0,0.0,0.0
resnet50,2024,jpeg_sev1_q80,jpeg,1,none,quality,80.0,0.8333333333333334,1.0,0.6666666666666666,0.8,0.9652777777777778,-0.08333333333333326,-0.10909090909090902,-0.03472222222222221
resnet50,2024,jpeg_sev2_q50,jpeg,2,none,quality,50.0,0.6666666666666666,1.0,0.3333333333333333,0.5,0.7708333333333334,-0.25,-0.40909090909090906,-0.22916666666666663
resnet50,2024,jpeg_sev3_q20,jpeg,3,none,quality,20.0,0.5,0.0,0.0,0.0,0.763888888888889,-0.41666666666666663,-0.9090909090909091,-0.23611111111111105
resnet50,2024,resize_sev1_s75,resize,1,none,scale,0.75,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9722222222222223,0.0,0.007575757575757569,-0.02777777777777768
resnet50,2024,resize_sev2_s50,resize,2,none,scale,0.5,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9722222222222223,0.0,0.007575757575757569,-0.02777777777777768
resnet50,2024,resize_sev3_s25,resize,3,none,scale,0.25,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9444444444444444,0.0,0.007575757575757569,-0.05555555555555558
resnet50,2024,brightness_dark_sev1_f80,brightness_dark,1,darker,factor,0.8,0.875,1.0,0.75,0.8571428571428571,0.986111111111111,-0.04166666666666663,-0.051948051948051965,-0.01388888888888895
resnet50,2024,brightness_dark_sev2_f60,brightness_dark,2,darker,factor,0.6,0.8333333333333334,1.0,0.6666666666666666,0.8,0.9375,-0.08333333333333326,-0.10909090909090902,-0.0625
resnet50,2024,brightness_dark_sev3_f40,brightness_dark,3,darker,factor,0.4,0.6666666666666666,1.0,0.3333333333333333,0.5,0.8541666666666666,-0.25,-0.40909090909090906,-0.14583333333333337
resnet50,2024,brightness_bright_sev1_f120,brightness_bright,1,brighter,factor,1.2,0.9166666666666666,1.0,0.8333333333333334,0.9090909090909091,1.0,0.0,0.0,0.0
resnet50,2024,brightness_bright_sev2_f140,brightness_bright,2,brighter,factor,1.4,0.8333333333333334,1.0,0.6666666666666666,0.8,0.9930555555555555,-0.08333333333333326,-0.10909090909090902,-0.006944444444444531
resnet50,2024,brightness_bright_sev3_f160,brightness_bright,3,brighter,factor,1.6,0.7083333333333334,1.0,0.4166666666666667,0.5882352941176471,0.986111111111111,-0.20833333333333326,-0.320855614973262,-0.01388888888888895
