model,seed,condition_id,transformation,severity,direction,parameter_name,parameter_value,accuracy,precision,recall,f1,roc_auc,delta_accuracy,delta_f1,delta_roc_auc
efficientnet_b0,123,clean,clean,0,none,none,,0.8333333333333334,0.9,0.75,0.8181818181818182,0.9236111111111112,0.0,0.0,0.0
efficientnet_b0,123,jpeg_sev1_q80,jpeg,1,none,quality,80.0,0.75,0.875,0.5833333333333334,0.7,0.8819444444444444,-0.08333333333333337,-0.11818181818181828,-0.04166666666666674
efficientnet_b0,123,jpeg_sev2_q50,jpeg,2,none,quality,50.0,0.5833333333333334,0.75,0.25,0.375,0.7569444444444444,-0.25,-0.44318181818181823,-0.16666666666666674
efficientnet_b0,123,jpeg_sev3_q20,jpeg,3,none,quality,20.0,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.6666666666666666,-0.25,-0.3737373737373738,-0.25694444444444453
efficientnet_b0,123,resize_sev1_s75,resize,1,none,scale,0.75,0.875,0.8461538461538461,0.9166666666666666,0.88,0.8958333333333333,0.04166666666666663,0.06181818181818177,-0.0277777777777779
efficientnet_b0,123,resize_sev2_s50,resize,2,none,scale,0.5,0.8333333333333334,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.9027777777777779,0.0,0.027972027972027913,-0.02083333333333326
efficientnet_b0,123,resize_sev3_s25,resize,3,none,scale,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7847222222222223,-0.16666666666666674,-0.1515151515151516,-0.13888888888888884
efficientnet_b0,123,brightness_dark_sev1_f80,brightness_dark,1,darker,factor,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9375,0.0,0.015151515151515138,0.01388888888888884
efficientnet_b0,123,brightness_dark_sev2_f60,brightness_dark,2,darker,factor,0.6,0.875,0.8461538461538461,0.9166666666666666,0.88,0.9375,0.04166666666666663,0.06181818181818177,0.01388888888888884
efficientnet_b0,123,brightness_dark_sev3_f40,brightness_dark,3,darker,factor,0.4,0.7916666666666666,0.8181818181818182,0.75,0.782608695652174,0.9027777777777779,-0.04166666666666674,-0.035573122529644285,-0.02083333333333326
efficientnet_b0,123,brightness_bright_sev1_f120,brightness_bright,1,brighter,factor,1.2,0.7916666666666666,0.8888888888888888,0.6666666666666666,0.7619047619047619,0.9166666666666667,-0.04166666666666674,-0.05627705627705637,-0.00694444444444442
efficientnet_b0,123,brightness_bright_sev2_f140,brightness_bright,2,brighter,factor,1.4,0.75,0.875,0.5833333333333334,0.7,0.8958333333333334,-0.08333333333333337,-0.11818181818181828,-0.02777777777777779
efficientnet_b0,123,brightness_bright_sev3_f160,brightness_bright,3,brighter,factor,1.6,0.75,0.875,0.5833333333333334,0.7,0.8958333333333334,-0.08333333333333337,-0.11818181818181828,-0.02777777777777779
