model,seed,condition_id,transformation,severity,direction,parameter_name,parameter_value,accuracy,precision,recall,f1,roc_auc,delta_accuracy,delta_f1,delta_roc_auc
xception,123,clean,clean,0,none,none,,0.9583333333333334,0.9230769230769231,1.0,0.96,0.9583333333333333,0.0,0.0,0.0
xception,123,jpeg_sev1_q80,jpeg,1,none,quality,80.0,0.8333333333333334,0.9,0.75,0.8181818181818182,0.9375,-0.125,-0.14181818181818173,-0.02083333333333326
xception,123,jpeg_sev2_q50,jpeg,2,none,quality,50.0,0.6666666666666666,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.8541666666666666,-0.29166666666666674,-0.4044444444444444,-0.10416666666666663
xception,123,jpeg_sev3_q20,jpeg,3,none,quality,20.0,0.5833333333333334,1.0,0.16666666666666666,0.2857142857142857,0.7847222222222222,-0.375,-0.6742857142857143,-0.17361111111111105
xception,123,resize_sev1_s75,resize,1,none,scale,0.75,0.9166666666666666,0.8571428571428571,1.0,0.9230769230769231,0.9583333333333333,-0.04166666666666674,-0.036923076923076836,0.0
xception,123,resize_sev2_s50,resize,2,none,scale,0.5,0.9166666666666666,0.8571428571428571,1.0,0.9230769230769231,0.9444444444444444,-0.04166666666666674,-0.036923076923076836,-0.01388888888888884
xception,123,resize_sev3_s25,resize,3,none,scale,0.25,0.875,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9166666666666667,-0.08333333333333337,-0.09043478260869564,-0.04166666666666652
xception,123,brightness_dark_sev1_f80,brightness_dark,1,darker,factor,0.8,0.9583333333333334,0.9230769230769231,1.0,0.96,0.9444444444444444,0.0,0.0,-0.01388888888888884
xception,123,brightness_dark_sev2_f60,brightness_dark,2,darker,factor,0.6,0.9583333333333334,0.9230769230769231,1.0,0.96,0.9375,0.0,0.0,-0.02083333333333326
xception,123,brightness_dark_sev3_f40,brightness_dark,3,darker,factor,0.4,0.875,0.8,1.0,0.8888888888888888,0.9305555555555556,-0.08333333333333337,-0.07111111111111112,-0.02777777777777768
xception,123,brightness_bright_sev1_f120,brightness_bright,1,brighter,factor,1.2,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9444444444444444,-0.04166666666666674,-0.043333333333333335,-0.01388888888888884
xception,123,brightness_bright_sev2_f140,brightness_bright,2,brighter,factor,1.4,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9652777777777778,-0.04166666666666674,-0.043333333333333335,0.006944444444444531
xception,123,brightness_bright_sev3_f160,brightness_bright,3,brighter,factor,1.6,0.8333333333333334,0.9,0.75,0.8181818181818182,0.9652777777777778,-0.125,-0.14181818181818173,0.006944444444444531
