category,brightness_bright,brightness_dark,jpeg,resize
Deepfakes,-0.32407407407407407,-0.10185185185185186,-0.7962962962962963,-0.05555555555555555
Face2Face,-0.34259259259259256,-0.12962962962962965,-0.7962962962962963,-0.055555555555555566
FaceSwap,-0.3333333333333333,-0.10185185185185186,-0.7962962962962963,-0.055555555555555566
NeuralTextures,-0.3333333333333333,-0.10185185185185186,-0.7962962962962963,-0.055555555555555566
