transformation,severity,direction,parameter_name,parameter_value,model,seed,total_evals,stable_correct,robustness_failure,transformation_correction,persistent_error,robustness_failure_rate,correction_rate
brightness_dark,3,darker,factor,0.4,xception,2024,24,20,4,0,0,0.16666666666666666,0.0
clean,0,none,none,,efficientnet_b0,42,24,21,0,0,3,0.0,0.0
clean,0,none,none,,efficientnet_b0,123,24,20,0,0,4,0.0,0.0
clean,0,none,none,,efficientnet_b0,2024,24,22,0,0,2,0.0,0.0
clean,0,none,none,,resnet50,42,24,23,0,0,1,0.0,0.0
clean,0,none,none,,resnet50,123,24,23,0,0,1,0.0,0.0
clean,0,none,none,,resnet50,2024,24,22,0,0,2,0.0,0.0
clean,0,none,none,,xception,42,24,22,0,0,2,0.0,0.0
clean,0,none,none,,xception,123,24,23,0,0,1,0.0,0.0
clean,0,none,none,,xception,2024,24,24,0,0,0,0.0,0.0
jpeg,1,none,quality,80.0,efficientnet_b0,42,24,19,2,0,3,0.08333333333333333,0.0
jpeg,1,none,quality,80.0,efficientnet_b0,123,24,18,2,0,4,0.08333333333333333,0.0
jpeg,1,none,quality,80.0,efficientnet_b0,2024,24,19,3,0,2,0.125,0.0
jpeg,1,none,quality,80.0,resnet50,42,24,20,3,0,1,0.125,0.0
jpeg,1,none,quality,80.0,resnet50,123,24,22,1,0,1,0.041666666666666664,0.0
jpeg,1,none,quality,80.0,resnet50,2024,24,20,2,0,2,0.08333333333333333,0.0
jpeg,1,none,quality,80.0,xception,42,24,18,4,0,2,0.16666666666666666,0.0
jpeg,1,none,quality,80.0,xception,123,24,20,3,0,1,0.125,0.0
jpeg,1,none,quality,80.0,xception,2024,24,21,3,0,0,0.125,0.0
jpeg,2,none,quality,50.0,efficientnet_b0,42,24,16,5,0,3,0.20833333333333334,0.0
jpeg,2,none,quality,50.0,efficientnet_b0,123,24,14,6,0,4,0.25,0.0
jpeg,2,none,quality,50.0,efficientnet_b0,2024,24,15,7,0,2,0.2916666666666667,0.0
jpeg,2,none,quality,50.0,resnet50,42,24,16,7,0,1,0.2916666666666667,0.0
jpeg,2,none,quality,50.0,resnet50,123,24,14,9,0,1,0.375,0.0
jpeg,2,none,quality,50.0,resnet50,2024,24,16,6,0,2,0.25,0.0
jpeg,2,none,quality,50.0,xception,42,24,14,8,0,2,0.3333333333333333,0.0
jpeg,2,none,quality,50.0,xception,123,24,16,7,0,1,0.2916666666666667,0.0
jpeg,2,none,quality,50.0,xception,2024,24,16,8,0,0,0.3333333333333333,0.0
jpeg,3,none,quality,20.0,efficientnet_b0,42,24,14,7,1,2,0.2916666666666667,0.041666666666666664
jpeg,3,none,quality,20.0,efficientnet_b0,123,24,14,6,0,4,0.25,0.0
jpeg,3,none,quality,20.0,efficientnet_b0,2024,24,14,8,0,2,0.3333333333333333,0.0
jpeg,3,none,quality,20.0,resnet50,42,24,11,12,1,0,0.5,0.041666666666666664
jpeg,3,none,quality,20.0,resnet50,123,24,11,12,1,0,0.5,0.041666666666666664
jpeg,3,none,quality,20.0,resnet50,2024,24,12,10,0,2,0.4166666666666667,0.0
jpeg,3,none,quality,20.0,xception,42,24,11,11,1,1,0.4583333333333333,0.041666666666666664
jpeg,3,none,quality,20.0,xception,123,24,13,10,1,0,0.4166666666666667,0.041666666666666664
jpeg,3,none,quality,20.0,xception,2024,24,12,12,0,0,0.5,0.0
resize,1,none,scale,0.75,efficientnet_b0,42,24,20,1,1,2,0.041666666666666664,0.041666666666666664
resize,1,none,scale,0.75,efficientnet_b0,123,24,19,1,2,2,0.041666666666666664,0.08333333333333333
resize,1,none,scale,0.75,efficientnet_b0,2024,24,20,2,1,1,0.08333333333333333,0.041666666666666664
resize,1,none,scale,0.75,resnet50,42,24,21,2,0,1,0.08333333333333333,0.0
resize,1,none,scale,0.75,resnet50,123,24,19,4,0,1,0.16666666666666666,0.0
resize,1,none,scale,0.75,resnet50,2024,24,21,1,1,1,0.041666666666666664,0.041666666666666664
resize,1,none,scale,0.75,xception,42,24,20,2,0,2,0.08333333333333333,0.0
resize,1,none,scale,0.75,xception,123,24,22,1,0,1,0.041666666666666664,0.0
resize,1,none,scale,0.75,xception,2024,24,23,1,0,0,0.041666666666666664,0.0
resize,2,none,scale,0.5,efficientnet_b0,42,24,20,1,1,2,0.041666666666666664,0.041666666666666664
resize,2,none,scale,0.5,efficientnet_b0,123,24,18,2,2,2,0.08333333333333333,0.08333333333333333
resize,2,none,scale,0.5,efficientnet_b0,2024,24,20,2,1,1,0.08333333333333333,0.041666666666666664
resize,2,none,scale,0.5,resnet50,42,24,21,2,0,1,0.08333333333333333,0.0
resize,2,none,scale,0.5,resnet50,123,24,19,4,0,1,0.16666666666666666,0.0
resize,2,none,scale,0.5,resnet50,2024,24,21,1,1,1,0.041666666666666664,0.041666666666666664
resize,2,none,scale,0.5,xception,42,24,19,3,1,1,0.125,0.041666666666666664
resize,2,none,scale,0.5,xception,123,24,22,1,0,1,0.041666666666666664,0.0
resize,2,none,scale,0.5,xception,2024,24,21,3,0,0,0.125,0.0
resize,3,none,scale,0.25,efficientnet_b0,42,24,19,2,0,3,0.08333333333333333,0.0
resize,3,none,scale,0.25,efficientnet_b0,123,24,16,4,0,4,0.16666666666666666,0.0
resize,3,none,scale,0.25,efficientnet_b0,2024,24,17,5,0,2,0.20833333333333334,0.0
resize,3,none,scale,0.25,resnet50,42,24,21,2,0,1,0.08333333333333333,0.0
resize,3,none,scale,0.25,resnet50,123,24,19,4,0,1,0.16666666666666666,0.0
resize,3,none,scale,0.25,resnet50,2024,24,21,1,1,1,0.041666666666666664,0.041666666666666664
resize,3,none,scale,0.25,xception,42,24,19,3,0,2,0.125,0.0
resize,3,none,scale,0.25,xception,123,24,21,2,0,1,0.08333333333333333,0.0
resize,3,none,scale,0.25,xception,2024,24,21,3,0,0,0.125,0.0
