category,brightness_bright,brightness_dark,jpeg,resize
Deepfakes,-0.20108546703243163,-0.17372548572089153,-0.7483964559326878,-0.10844272027846907
Face2Face,-0.21822263556278898,-0.20598205306517817,-0.7483964559326878,-0.10771076302477268
FaceSwap,-0.20950803861289793,-0.17372548572089153,-0.7483964559326878,-0.10771076302477268
NeuralTextures,-0.20950803861289793,-0.17372548572089153,-0.7483964559326878,-0.10771076302477268
